Date : 2026-05-21 17:52:44
Directory : d:\CMS\CMS-15\frontend
Total : 391 files,  321630 codes, 31226 comments, 4597 blanks, all 357453 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-PT3PKTBD.js                                                                   | JavaScript         |        530 |         87 |          3 |        620 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-QFYAOJHZ.js                                                                   | JavaScript         |      1,337 |        131 |          3 |      1,471 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-QTJMHJ2E.js                                                                   | JavaScript         |         64 |          6 |          3 |         73 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-R25CBD4A.js                                                                   | JavaScript         |         96 |         92 |          3 |        191 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-R45BJ5S2.js                                                                   | JavaScript         |          7 |          2 |          3 |         12 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-RAET7PWN.js                                                                   | JavaScript         |         34 |         13 |          4 |         51 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-RBBRWQXC.js                                                                   | JavaScript         |      2,146 |        422 |          4 |      2,572 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-S6UDFRXH.js                                                                   | JavaScript         |      2,693 |        467 |         22 |      3,182 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-UFAU5GMQ.js                                                                   | JavaScript         |         37 |          2 |          3 |         42 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-UY5XLYMF.js                                                                   | JavaScript         |      4,527 |        593 |          6 |      5,126 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-W3YIVY5K.js                                                                   | JavaScript         |        158 |         14 |          3 |        175 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-WCZO66LS.js                                                                   | JavaScript         |        505 |         92 |          3 |        600 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-WDMUDEB6.js                                                                   | JavaScript         |         57 |          0 |          2 |         59 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-WHS4MJ2K.js                                                                   | JavaScript         |      4,655 |      2,206 |          8 |      6,869 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-WPM5VTLQ.js                                                                   | JavaScript         |        839 |         35 |         36 |        910 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-WWM66IGH.js                                                                   | JavaScript         |      1,156 |          4 |          3 |      1,163 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-YUPMVM7L.js                                                                   | JavaScript         |        115 |         26 |          4 |        145 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-Z5376UJX.js                                                                   | JavaScript         |        669 |        152 |          3 |        824 |
